INFO 2024-03-01 17:25:19,424 autoreload 18144 2624 Watching for file changes with StatReloader
INFO 2024-03-01 17:25:22,442 basehttp 18144 9172 "GET / HTTP/1.1" 200 10697
INFO 2024-03-01 17:25:22,469 basehttp 18144 9172 "GET /static/admin/css/fonts.css HTTP/1.1" 200 423
INFO 2024-03-01 17:25:22,603 basehttp 18144 9172 "GET /static/admin/fonts/Roboto-Regular-webfont.woff HTTP/1.1" 200 85876
INFO 2024-03-01 17:25:22,604 basehttp 18144 16752 "GET /static/admin/fonts/Roboto-Light-webfont.woff HTTP/1.1" 200 85692
INFO 2024-03-01 17:25:22,614 basehttp 18144 17532 "GET /static/admin/fonts/Roboto-Bold-webfont.woff HTTP/1.1" 200 86184
INFO 2024-03-01 23:44:53,178 autoreload 18040 16620 Watching for file changes with StatReloader
INFO 2024-03-01 23:44:55,414 basehttp 18040 8416 "GET / HTTP/1.1" 200 10633
INFO 2024-03-01 23:44:55,500 basehttp 18040 8416 "GET /static/admin/css/fonts.css HTTP/1.1" 200 423
INFO 2024-03-01 23:44:55,659 basehttp 18040 8416 "GET /static/admin/fonts/Roboto-Regular-webfont.woff HTTP/1.1" 200 85876
INFO 2024-03-01 23:44:55,669 basehttp 18040 860 "GET /static/admin/fonts/Roboto-Light-webfont.woff HTTP/1.1" 200 85692
INFO 2024-03-01 23:44:55,677 basehttp 18040 10080 "GET /static/admin/fonts/Roboto-Bold-webfont.woff HTTP/1.1" 200 86184
INFO 2024-03-04 14:46:49,545 autoreload 7060 20060 Watching for file changes with StatReloader
ERROR 2024-03-04 14:46:57,084 exception 7060 16764 Invalid HTTP_HOST header: 'api.luffycity.cn:8000'. You may need to add 'api.luffycity.cn' to ALLOWED_HOSTS.
WARNING 2024-03-04 14:46:57,572 log 7060 16764 Bad Request: /
WARNING 2024-03-04 14:46:57,573 basehttp 7060 16764 "GET / HTTP/1.1" 400 76982
ERROR 2024-03-04 14:46:57,958 exception 7060 15008 Invalid HTTP_HOST header: 'api.luffycity.cn:8000'. You may need to add 'api.luffycity.cn' to ALLOWED_HOSTS.
WARNING 2024-03-04 14:46:57,995 log 7060 15008 Bad Request: /favicon.ico
WARNING 2024-03-04 14:46:57,996 basehttp 7060 15008 "GET /favicon.ico HTTP/1.1" 400 76905
INFO 2024-03-04 14:49:03,596 autoreload 7060 20060 G:\DjangoProject\luffy\luffyapi\luffyapi\settings\dev.py changed, reloading.
INFO 2024-03-04 14:49:06,538 autoreload 16524 19948 Watching for file changes with StatReloader
INFO 2024-03-04 14:49:44,287 basehttp 16524 6316 "GET / HTTP/1.1" 200 10633
INFO 2024-03-04 14:49:44,350 basehttp 16524 6316 "GET /static/admin/css/fonts.css HTTP/1.1" 200 423
INFO 2024-03-04 14:49:44,441 basehttp 16524 19816 "GET /static/admin/fonts/Roboto-Regular-webfont.woff HTTP/1.1" 200 85876
INFO 2024-03-04 14:49:44,441 basehttp 16524 6316 "GET /static/admin/fonts/Roboto-Bold-webfont.woff HTTP/1.1" 200 86184
INFO 2024-03-04 14:49:44,442 basehttp 16524 20040 "GET /static/admin/fonts/Roboto-Light-webfont.woff HTTP/1.1" 200 85692
WARNING 2024-03-04 14:49:44,529 log 16524 20040 Not Found: /favicon.ico
WARNING 2024-03-04 14:49:44,530 basehttp 16524 20040 "GET /favicon.ico HTTP/1.1" 404 2119
INFO 2024-03-04 21:05:01,467 autoreload 19224 18724 Watching for file changes with StatReloader
INFO 2024-03-04 21:08:27,469 autoreload 12616 12688 Watching for file changes with StatReloader
INFO 2024-03-04 21:08:46,899 autoreload 4124 1672 Watching for file changes with StatReloader
INFO 2024-03-04 21:13:09,930 autoreload 6376 20208 Watching for file changes with StatReloader
ERROR 2024-03-04 21:13:12,796 exception 6376 21108 Invalid HTTP_HOST header: '127.0.0.1:8000'. You may need to add '127.0.0.1' to ALLOWED_HOSTS.
WARNING 2024-03-04 21:13:12,850 log 6376 21108 Bad Request: /
WARNING 2024-03-04 21:13:12,851 basehttp 6376 21108 "GET / HTTP/1.1" 400 79073
ERROR 2024-03-04 21:13:13,237 exception 6376 7908 Invalid HTTP_HOST header: '127.0.0.1:8000'. You may need to add '127.0.0.1' to ALLOWED_HOSTS.
WARNING 2024-03-04 21:13:13,282 log 6376 7908 Bad Request: /favicon.ico
WARNING 2024-03-04 21:13:13,283 basehttp 6376 7908 "GET /favicon.ico HTTP/1.1" 400 78998
ERROR 2024-03-04 21:14:10,173 exception 6376 8252 Invalid HTTP_HOST header: '127.0.0.1:8000'. You may need to add '127.0.0.1' to ALLOWED_HOSTS.
WARNING 2024-03-04 21:14:10,209 log 6376 8252 Bad Request: /
WARNING 2024-03-04 21:14:10,210 basehttp 6376 8252 "GET / HTTP/1.1" 400 79073
ERROR 2024-03-04 21:14:10,583 exception 6376 7204 Invalid HTTP_HOST header: '127.0.0.1:8000'. You may need to add '127.0.0.1' to ALLOWED_HOSTS.
WARNING 2024-03-04 21:14:10,642 log 6376 7204 Bad Request: /favicon.ico
WARNING 2024-03-04 21:14:10,643 basehttp 6376 7204 "GET /favicon.ico HTTP/1.1" 400 78998
INFO 2024-03-04 21:14:40,987 autoreload 6376 20208 G:\DjangoProject\luffy\luffyapi\luffyapi\settings\dev.py changed, reloading.
INFO 2024-03-04 21:14:42,931 autoreload 20452 1904 Watching for file changes with StatReloader
INFO 2024-03-04 21:15:06,868 autoreload 20452 1904 G:\DjangoProject\luffy\luffyapi\luffyapi\settings\dev.py changed, reloading.
INFO 2024-03-04 21:15:08,935 autoreload 11672 1636 Watching for file changes with StatReloader
WARNING 2024-03-04 21:15:17,743 log 11672 6184 Not Found: /
WARNING 2024-03-04 21:15:17,744 basehttp 11672 6184 "GET / HTTP/1.1" 404 2185
WARNING 2024-03-04 21:15:18,012 log 11672 6184 Not Found: /favicon.ico
WARNING 2024-03-04 21:15:18,013 basehttp 11672 6184 "GET /favicon.ico HTTP/1.1" 404 2236
WARNING 2024-03-04 21:15:27,676 log 11672 6184 Not Found: /
WARNING 2024-03-04 21:15:27,677 basehttp 11672 6184 "GET / HTTP/1.1" 404 2185
INFO 2024-03-04 21:16:33,223 autoreload 11672 1636 G:\DjangoProject\luffy\luffyapi\luffyapi\settings\dev.py changed, reloading.
INFO 2024-03-04 21:16:35,558 autoreload 6904 9384 Watching for file changes with StatReloader
WARNING 2024-03-04 21:17:06,533 log 6904 19816 Not Found: /
WARNING 2024-03-04 21:17:06,534 basehttp 6904 19816 "GET / HTTP/1.1" 404 2185
WARNING 2024-03-04 21:17:12,925 log 6904 19816 Not Found: /home
WARNING 2024-03-04 21:17:12,926 basehttp 6904 19816 "GET /home HTTP/1.1" 404 2215
INFO 2024-03-04 21:26:52,539 autoreload 19656 18408 Watching for file changes with StatReloader
INFO 2024-03-04 21:27:10,693 autoreload 19656 18408 G:\DjangoProject\luffy\luffyapi\luffyapi\settings\dev.py changed, reloading.
INFO 2024-03-04 21:27:12,779 autoreload 20148 17572 Watching for file changes with StatReloader
